user,Time(KST),Solar_gen(Wh),Consumption(Wh),Battery_level(Wh),Battery_max(Wh),Power_sell(Wh),Power_buy(Wh),Price(Won),Tolerance(%),Action
user1,2024-01-01 00:00,49,687,1862,5000,0,0,1016,10,idle
user1,2024-01-01 01:00,0,545,1317,5000,0,0,1037,10,idle
user1,2024-01-01 02:00,64,255,1126,5000,0,0,1066,10,idle
user1,2024-01-01 03:00,152,259,1019,5000,0,0,1027,10,idle
user1,2024-01-01 04:00,0,296,723,5000,0,0,1017,10,idle
user1,2024-01-01 05:00,0,617,500,5000,0,394,1134,10,buy
user1,2024-01-01 06:00,157,833,500,5000,0,676,1189,15,buy
user1,2024-01-01 07:00,723,1000,500,5000,0,277,1231,10,buy
user1,2024-01-01 08:00,1203,1000,703,5000,0,0,1261,10,idle
user1,2024-01-01 09:00,1822,955,1570,5000,0,0,1275,10,idle
user1,2024-01-01 10:00,2118,286,2570,5000,0,0,1165,10,idle
user1,2024-01-01 11:00,2368,436,3570,5000,0,0,1186,10,idle
user1,2024-01-01 12:00,2524,331,4570,5000,1193,0,1221,15,sell
user1,2024-01-01 13:00,2223,257,5000,5000,1536,0,1234,15,sell
user1,2024-01-01 14:00,1992,246,5000,5000,1746,0,1235,15,sell
user1,2024-01-01 15:00,1711,606,5000,5000,1105,0,1250,15,sell
user1,2024-01-01 16:00,1148,688,5000,5000,460,0,1184,10,sell
user1,2024-01-01 17:00,678,918,4760,5000,0,0,1170,10,idle
user1,2024-01-01 18:00,0,843,3960,5000,0,0,1179,10,idle
user1,2024-01-01 19:00,0,896,3160,5000,0,96,1159,10,buy
user1,2024-01-01 20:00,146,777,2529,5000,0,0,1179,10,idle
user1,2024-01-01 21:00,0,524,2005,5000,0,0,1113,10,idle
user1,2024-01-01 22:00,6,277,1734,5000,0,0,1062,10,idle
user1,2024-01-01 23:00,0,625,1109,5000,0,0,1016,10,idle
user1,2024-01-02 00:00,0,710,500,5000,0,101,1070,10,buy
user1,2024-01-02 01:00,11,520,500,5000,0,509,1111,15,buy
user1,2024-01-02 02:00,0,308,500,5000,0,308,1045,10,buy
user1,2024-01-02 03:00,37,319,500,5000,0,282,1066,10,buy
user1,2024-01-02 04:00,0,255,500,5000,0,255,1077,10,buy
user1,2024-01-02 05:00,0,607,500,5000,0,607,1108,15,buy
user1,2024-01-02 06:00,0,822,500,5000,0,822,1188,15,buy
user1,2024-01-02 07:00,832,1000,500,5000,0,168,1252,10,buy
user1,2024-01-02 08:00,1248,1000,748,5000,0,0,1283,10,idle
user1,2024-01-02 09:00,1661,910,1499,5000,0,0,1235,10,idle
user1,2024-01-02 10:00,2247,354,2499,5000,0,0,1224,10,idle
user1,2024-01-02 11:00,2292,352,3499,5000,0,0,1263,10,idle
user1,2024-01-02 12:00,2520,231,4499,5000,1289,0,1308,15,sell
user1,2024-01-02 13:00,2218,253,5000,5000,1464,0,1281,15,sell
user1,2024-01-02 14:00,2032,325,5000,5000,1707,0,1309,15,sell
user1,2024-01-02 15:00,1787,608,5000,5000,1179,0,1160,15,sell
user1,2024-01-02 16:00,1323,725,5000,5000,598,0,1184,15,sell
user1,2024-01-02 17:00,664,1000,4664,5000,0,0,1184,10,idle
user1,2024-01-02 18:00,0,848,3864,5000,0,0,1267,10,idle
user1,2024-01-02 19:00,0,956,3064,5000,0,156,1167,10,buy
user1,2024-01-02 20:00,0,867,2264,5000,0,67,1146,10,buy
user1,2024-01-02 21:00,0,632,1632,5000,0,0,1101,10,idle
user1,2024-01-02 22:00,0,284,1348,5000,0,0,965,10,idle
user1,2024-01-02 23:00,105,620,833,5000,0,0,1028,10,idle
user1,2024-01-03 00:00,34,661,500,5000,0,294,1019,10,buy
user1,2024-01-03 01:00,0,571,500,5000,0,571,1056,15,buy
user1,2024-01-03 02:00,32,275,500,5000,0,243,1063,10,buy
user1,2024-01-03 03:00,0,304,500,5000,0,304,1125,10,buy
user1,2024-01-03 04:00,0,415,500,5000,0,415,1088,15,buy
user1,2024-01-03 05:00,61,506,500,5000,0,445,1101,15,buy
user1,2024-01-03 06:00,103,853,500,5000,0,750,1143,15,buy
user1,2024-01-03 07:00,740,1000,500,5000,0,260,1271,10,buy
user1,2024-01-03 08:00,1166,1000,666,5000,0,0,1227,10,idle
user1,2024-01-03 09:00,1736,937,1465,5000,0,0,1339,10,idle
user1,2024-01-03 10:00,2198,303,2465,5000,0,0,1270,10,idle
user1,2024-01-03 11:00,2512,246,3465,5000,0,0,1224,10,idle
user1,2024-01-03 12:00,2452,264,4465,5000,1188,0,1181,15,sell
user1,2024-01-03 13:00,2396,333,5000,5000,1528,0,1297,15,sell
user1,2024-01-03 14:00,2054,263,5000,5000,1791,0,1218,15,sell
user1,2024-01-03 15:00,1648,593,5000,5000,1055,0,1240,15,sell
user1,2024-01-03 16:00,1331,702,5000,5000,629,0,1086,15,sell
user1,2024-01-03 17:00,782,850,4932,5000,0,0,1152,10,idle
user1,2024-01-03 18:00,0,926,4132,5000,0,126,1180,10,buy
user1,2024-01-03 19:00,100,931,3332,5000,0,0,1201,10,idle
user1,2024-01-03 20:00,36,718,2650,5000,0,0,1161,10,idle
user1,2024-01-03 21:00,0,609,2041,5000,0,0,1149,10,idle
user1,2024-01-03 22:00,36,266,1811,5000,0,0,1007,10,idle
user1,2024-01-03 23:00,153,625,1339,5000,0,0,1044,10,idle
user1,2024-01-04 00:00,0,660,679,5000,0,0,1054,10,idle
user1,2024-01-04 01:00,156,577,500,5000,0,242,1070,10,buy
user1,2024-01-04 02:00,0,325,500,5000,0,325,1078,10,buy
user1,2024-01-04 03:00,82,343,500,5000,0,261,1005,10,buy
user1,2024-01-04 04:00,8,239,500,5000,0,231,988,10,buy
user1,2024-01-04 05:00,0,583,500,5000,0,583,1176,15,buy
user1,2024-01-04 06:00,9,795,500,5000,0,786,1193,15,buy
user1,2024-01-04 07:00,448,1000,500,5000,0,552,1221,15,buy
user1,2024-01-04 08:00,1228,1000,728,5000,0,0,1341,10,idle
