user,Time(KST),Power_buy(Wh),Price(Won),Tolerance(%)
user2,2024-01-01 02:00,300,1040,10
user2,2024-01-01 03:00,261,1031,10
user3,2024-01-01 03:00,247,1049,10
user2,2024-01-01 04:00,279,1050,10
user3,2024-01-01 04:00,220,1028,10
user3,2024-01-01 05:00,273,1053,10
user1,2024-01-01 06:00,359,978,5
user3,2024-01-01 06:00,271,1058,10
user1,2024-01-01 07:00,312,1015,5
user1,2024-01-01 08:00,342,974,5
user4,2024-01-01 10:00,521,1179,10
user5,2024-01-01 11:00,406,1162,10
user5,2024-01-01 12:00,445,1164,10
user4,2024-01-01 13:00,571,1157,10
user5,2024-01-01 13:00,360,1167,10
user4,2024-01-01 14:00,457,1155,10
user5,2024-01-01 14:00,407,1153,10
user4,2024-01-01 15:00,454,1206,10
user5,2024-01-01 15:00,440,1163,10
user4,2024-01-01 16:00,473,1210,10
