user,Time(KST),Power_buy(Wh),Price(Won),Tolerance(%)
user3,2024-01-01 00:00,404,979,5
user3,2024-01-01 00:00,301,1129,10
user3,2024-01-01 01:00,490,986,5
user3,2024-01-01 01:00,298,1056,10
user4,2024-01-01 01:00,286,1076,10
user1,2024-01-01 02:00,308,980,10
user3,2024-01-01 02:00,557,995,5
user3,2024-01-01 02:00,323,1061,10
user4,2024-01-01 02:00,231,1053,10
user1,2024-01-01 03:00,246,1023,10
user3,2024-01-01 03:00,570,951,5
user3,2024-01-01 03:00,317,1123,10
user4,2024-01-01 03:00,287,1065,10
user1,2024-01-01 04:00,329,1023,10
user3,2024-01-01 04:00,450,968,5
user3,2024-01-01 04:00,302,1069,10
user4,2024-01-01 04:00,242,1023,10
user1,2024-01-01 05:00,295,1013,10
user1,2024-01-01 06:00,240,1005,10
user2,2024-01-01 10:00,286,1071,5
user2,2024-01-01 10:00,258,1214,10
user2,2024-01-01 10:00,104,1392,15
user5,2024-01-01 10:00,210,1004,5
user5,2024-01-01 10:00,153,1185,8
user2,2024-01-01 11:00,279,1062,5
user2,2024-01-01 11:00,275,1268,10
user2,2024-01-01 11:00,87,1393,15
user5,2024-01-01 11:00,186,1003,5
user5,2024-01-01 11:00,154,1169,8
user2,2024-01-01 12:00,309,1069,5
user2,2024-01-01 12:00,238,1246,10
user2,2024-01-01 12:00,83,1376,15
user5,2024-01-01 12:00,237,1007,5
user5,2024-01-01 12:00,132,1189,8
user2,2024-01-01 13:00,324,1077,5
user2,2024-01-01 13:00,248,1270,10
user2,2024-01-01 13:00,105,1387,15
user5,2024-01-01 13:00,180,1011,5
user5,2024-01-01 13:00,167,1167,8
user2,2024-01-01 14:00,310,1080,5
user2,2024-01-01 14:00,249,1281,10
user2,2024-01-01 14:00,60,1416,15
user5,2024-01-01 14:00,219,1006,5
user5,2024-01-01 14:00,162,1208,8
user2,2024-01-01 15:00,302,1044,5
user2,2024-01-01 15:00,252,1210,10
user2,2024-01-01 15:00,96,1407,15
user5,2024-01-01 15:00,195,988,5
user5,2024-01-01 15:00,136,1167,8
user2,2024-01-01 16:00,344,1039,5
user2,2024-01-01 16:00,229,1239,10
user2,2024-01-01 16:00,113,1406,15
user5,2024-01-01 16:00,198,1005,5
user5,2024-01-01 16:00,154,1192,8
