user,Time(KST),Power_sell(Wh),Price(Won),Tolerance(%)
user4,2024-01-01 02:00,318,1015,10
user4,2024-01-01 03:00,303,1036,10
user5,2024-01-01 03:00,223,1019,10
user4,2024-01-01 05:00,289,999,10
user5,2024-01-01 05:00,233,971,10
user4,2024-01-01 06:00,315,1024,10
user2,2024-01-01 10:00,796,1170,10
user2,2024-01-01 11:00,664,1174,10
user3,2024-01-01 11:00,534,1153,10
user2,2024-01-01 12:00,563,1137,10
user3,2024-01-01 12:00,536,1138,10
user2,2024-01-01 13:00,663,1148,10
user3,2024-01-01 13:00,566,1199,10
user1,2024-01-01 14:00,467,1314,5
user2,2024-01-01 14:00,679,1104,10
user3,2024-01-01 14:00,451,1153,10
user2,2024-01-01 15:00,555,1176,10
user1,2024-01-01 16:00,531,1280,5
user2,2024-01-01 16:00,511,1140,10
user1,2024-01-01 17:00,509,1308,5
