user,Time(KST),Power_sell(Wh),Price(Won),Tolerance(%)
user2,2024-01-01 03:00,184,1010,10
user2,2024-01-01 04:00,202,1019,10
user5,2024-01-01 04:00,180,1011,10
user2,2024-01-01 05:00,178,993,10
user5,2024-01-01 05:00,174,1030,10
user5,2024-01-01 06:00,192,977,10
user4,2024-01-01 10:00,287,1131,10
user1,2024-01-01 11:00,1096,947,15
user1,2024-01-01 11:00,962,1180,10
user1,2024-01-01 11:00,402,1375,5
user4,2024-01-01 11:00,307,1141,10
user1,2024-01-01 12:00,1167,965,15
user1,2024-01-01 12:00,968,1160,10
user1,2024-01-01 12:00,413,1370,5
user3,2024-01-01 12:00,384,1050,10
user3,2024-01-01 12:00,205,1225,8
user1,2024-01-01 13:00,1088,911,15
user1,2024-01-01 13:00,903,1138,10
user1,2024-01-01 13:00,390,1386,5
user3,2024-01-01 13:00,400,1075,10
user3,2024-01-01 13:00,171,1211,8
user4,2024-01-01 13:00,313,1168,10
user1,2024-01-01 14:00,942,921,15
user1,2024-01-01 14:00,885,1145,10
user1,2024-01-01 14:00,364,1351,5
user3,2024-01-01 14:00,386,1063,10
user3,2024-01-01 14:00,196,1228,8
user4,2024-01-01 14:00,318,1121,10
user1,2024-01-01 15:00,775,952,15
user1,2024-01-01 15:00,663,1157,10
user1,2024-01-01 15:00,287,1374,5
user3,2024-01-01 15:00,475,1083,10
user3,2024-01-01 15:00,205,1218,8
user4,2024-01-01 15:00,382,1099,10
user1,2024-01-01 16:00,541,987,15
user1,2024-01-01 16:00,489,1128,10
user1,2024-01-01 16:00,222,1355,5
